Title,Year/Crew,Rating,Link
181 Before Sunrise (1995),"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.08093134205407,https://www.imdb.com/title/tt0112471/
182 12 Years a Slave (2013),"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.080480336773062,https://www.imdb.com/title/tt2024544/
183 On the Waterfront (1954),"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.078209913934614,https://www.imdb.com/title/tt0047296/
184 Ben Hur (1959),"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.078069850488017,https://www.imdb.com/title/tt0052618/
185 The Grand Budapest Hotel (2014),"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.077717119174133,https://www.imdb.com/title/tt2278388/
186 Gone Girl (2014),"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.0770427238434,https://www.imdb.com/title/tt2267998/
187 Smultronstället (1957),"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.075437989591775,https://www.imdb.com/title/tt0050986/
188 The General (1926),"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.074762582826288,https://www.imdb.com/title/tt0017925/
189 Barry Lyndon (1975),"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.073959854070704,https://www.imdb.com/title/tt0072684/
190 In the Name of the Father (1993),"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.073480170491907,https://www.imdb.com/title/tt0107207/
191 The Deer Hunter (1978),"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.073080828750152,https://www.imdb.com/title/tt0077416/
192 The Third Man (1949),"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.072458511019011,https://www.imdb.com/title/tt0041959/
